"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"903","1","CHF","468","頌富","Chung Fu",3.00
"903","1","CHE","490","翠湖","Chestwood",4.00
"903","1","TWI","500","天榮","Tin Wing",5.00
"903","1","GIN","455","銀座","Ginza",6.00
"903","1","TWU","450","天湖","Tin Wu",7.00
"903","1","TIT","435","天慈","Tin Tsz",8.00
"903","1","TSL","430","天水圍","Tin Shui Wai",9.00
"903","1","HMT","425","坑尾村","Hang Mei Tsuen",10.00
"903","1","HSK","380","洪水橋","Hung Shui Kiu",11.00
"903","1","CUT","370","鍾屋村","Chung Uk Tsuen",12.00
"903","1","NAW","360","泥圍","Nai Wai",13.00
"903","1","LTE","350","藍地","Lam Tei",14.00
"903","1","SHL","100","兆康","Siu Hong",15.00
"903","1","TMH","090","屯門醫院","Tuen Mun Hospital",16.00
"903","1","AFF","080","澤豐","Affluence",17.00
"903","1","CYB","075","蔡意橋","Choy Yee Bridge",18.00
"903","1","HOT","070","河田","Ho Tin",19.00
"903","1","TML","295","屯門","Tuen Mun",20.00
"903","1","TOC","280","市中心","Town Centre",21.00
"903","1","ONT","270","安定","On Ting",22.00
"903","1","SIL","265","兆麟","Siu Lun",23.00
"903","1","GOG","260","豐景園","Goodview Garden",24.00
"903","1","TSP","250","屯門泳池","Tuen Mun Swimming Pool",25.00
"903","1","SHE","240","兆禧","Siu Hei",26.00
"903","1","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",27.00
"904","1","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",1.00
"904","1","MEG","010","美樂","Melody Garden",2.00
"904","1","BUT","015","蝴蝶","Butterfly",3.00
"904","1","LRD","020","輕鐵車廠","Light Rail Depot",4.00
"904","1","LUM","030","龍門","Lung Mun",5.00
"904","1","TSS","040","青山村","Tsing Shan Tsuen",6.00
"904","1","TWN","050","青雲","Tsing Wun",7.00
"904","1","KIO","060","建安","Kin On",8.00
"904","1","TML","295","屯門","Tuen Mun",9.00
"904","1","PUT","300","杯渡","Pui To",10.00
"904","1","HFT","310","何福堂","Hoh Fuk Tong",11.00
